시도명,시군구명,읍면동명,월_평균_소득_금액,지출_총금액,좌표
서울특별시,성북구,동선동,2821008,47131577000,
서울특별시,송파구,잠실2동,6352641,13930267000,
서울특별시,송파구,오륜동,6095160,10934745000,
서울특별시,송파구,잠실7동,6014516,1557373000,
서울특별시,송파구,잠실4동,6007987,6497059000,
서울특별시,송파구,잠실3동,5452682,37164893000,
서울특별시,송파구,잠실6동,5237775,119167160000,
서울특별시,송파구,가락1동,4973588,23929172000,
서울특별시,송파구,문정2동,4425648,93696911000,
서울특별시,송파구,송파2동,4370970,12418316000,
서울특별시,송파구,위례동,4202887,20241851000,
서울특별시,송파구,방이1동,3970520,22626617000,
서울특별시,송파구,가락2동,3910198,25764787000,
서울특별시,송파구,풍납2동,3891704,21050252000,
서울특별시,송파구,문정1동,3568357,14625047000,
서울특별시,송파구,가락본동,3521561,35499424000,
서울특별시,송파구,오금동,3510674,28953650000,
서울특별시,송파구,장지동,3263464,15586015000,
서울특별시,송파구,송파1동,3129216,41460133000,
서울특별시,송파구,잠실본동,3079387,72987097000,
서울특별시,송파구,거여2동,3033238,13225084000,
서울특별시,송파구,풍납1동,3011150,5749082000,
서울특별시,송파구,방이2동,2928271,67800465000,
서울특별시,송파구,석촌동,2927911,44640196000,
서울특별시,송파구,거여1동,2789100,7529590000,
서울특별시,송파구,삼전동,2779980,30265883000,
서울특별시,송파구,마천1동,2435636,5952811000,
서울특별시,송파구,마천2동,2339431,15898688000,
서울특별시,양천구,목5동,5987821,49969615000,
서울특별시,양천구,목1동,5667672,105775238000,
서울특별시,양천구,신정6동,5384412,10881243000,
서울특별시,양천구,신정1동,5046256,18072025000,
서울특별시,양천구,신정2동,4725315,17164821000,
서울특별시,양천구,신정7동,4094404,19796027000,
서울특별시,양천구,목4동,3426858,20969948000,
서울특별시,양천구,목2동,3244963,20820944000,
서울특별시,양천구,신정3동,3158844,20207986000,
서울특별시,양천구,목3동,3101712,25523459000,
서울특별시,양천구,신월6동,2857257,10352725000,
서울특별시,양천구,신월2동,2727225,10700310000,
서울특별시,양천구,신월4동,2639083,11019986000,
서울특별시,양천구,신월5동,2615553,13083141000,
서울특별시,양천구,신정4동,2609700,39136103000,
서울특별시,양천구,신월7동,2343943,8567006000,
서울특별시,양천구,신월1동,2227154,15028309000,
서울특별시,양천구,신월3동,2152244,10222367000,
서울특별시,영등포구,여의동,5590853,409073169000,
서울특별시,영등포구,문래동,4019445,48256414000,
서울특별시,영등포구,영등포동,3570107,122563955000,
서울특별시,영등포구,영등포본동,3286751,15783574000,
서울특별시,영등포구,도림동,3031484,10457126000,
서울특별시,용산구,한강로동,4948344,125395050000,
서울특별시,용산구,한남동,4381088,53274613000,
서울특별시,용산구,서빙고동,4208562,7984956000,
서울특별시,용산구,용문동,3568910,5665207000,
서울특별시,용산구,효창동,3523201,4037528000,
서울특별시,용산구,남영동,3183091,206971539000,
서울특별시,용산구,후암동,3013677,8185738000,
서울특별시,용산구,청파동,2608804,13097947000,
서울특별시,용산구,보광동,2545653,4904332000,
서울특별시,용산구,용산2가동,2540319,497643981000,
서울특별시,은평구,진관동,4070863,67842521000,
서울특별시,은평구,수색동,3253972,4118350000,
서울특별시,은평구,녹번동,3055864,22139714000,
서울특별시,은평구,증산동,2838450,11027659000,
서울특별시,은평구,구산동,2602334,10330395000,
서울특별시,은평구,대조동,2535013,31266100000,
서울특별시,은평구,역촌동,2521877,28753127000,
서울특별시,종로구,무악동,5136717,9955837000,
서울특별시,종로구,사직동,5007768,228991510000,
서울특별시,종로구,교남동,4616890,9185826000,
서울특별시,종로구,평창동,4504006,10893053000,
서울특별시,종로구,청운효자동,3780222,11006800000,
서울특별시,종로구,부암동,3647449,6383644000,
서울특별시,종로구,가회동,3479766,12012032000,
서울특별시,종로구,삼청동,3442534,13394513000,
서울특별시,종로구,혜화동,3333112,41940815000,
서울특별시,종로구,이화동,3024996,37033752000,
서울특별시,중구,소공동,5380521,6777155917000,
서울특별시,중구,회현동,4442451,2176150288000,
서울특별시,중구,중림동,4435938,11593103000,
서울특별시,중구,약수동,3894878,10538874000,
서울특별시,중구,명동,3733600,408481614000,
서울특별시,중구,동화동,3621349,6794355000,
서울특별시,중구,청구동,3566241,6068200000,
서울특별시,중구,황학동,3247840,16891761000,
서울특별시,중구,광희동,3229604,48168320000,
서울특별시,중구,을지로동,3082514,790581680000,
서울특별시,중구,필동,3033044,21721610000,
서울특별시,중구,장충동,2895026,9838631000,
서울특별시,중구,신당동,2816850,22196546000,
서울특별시,중구,다산동,2679845,14236901000,
서울특별시,중랑구,신내2동,3060535,15475045000,
서울특별시,중랑구,신내1동,2780491,21976840000,
서울특별시,중랑구,망우본동,2443681,29180610000,
서울특별시,중랑구,면목본동,2336892,18636099000,
서울특별시,강남구,,4977683.28571429,10526674128000,
서울특별시,서초구,,4955825.55555556,2441618172000,
서울특별시,종로구,,3997346,380797782000,
